"","zip","bail_amount"
"869","19120",10000
"870","19104",10000
"871","19003",50000
"872","28217",0
"874","19119",5000
"875","19134",10000
"876","19114",25000
"877","19134",25000
"878","19134",0
"879","19121",0
"880","19140",25000
"881","19023",1e+05
"882","19135",5e+05
"883","19143",0
"884","19120",3000
"885","19046",0
"886","19150",50000
"887","19149",150000
"888","19140",5000
"889","19134",10000
"891","8094",150000
"892","8505",0
"893","19149",10000
"894","19143",125000
"895","19141",75000
"896","19140",25000
"897","19124",10000
"898","7866",0
"899","19119",1e+05
"900","19134",1e+05
"902","19148",0
"903","8053",0
"904","19140",50000
"905","19134",25000
"906","19143",75000
"907","19143",125000
"908","19126",0
"910","19134",2e+05
"911","19151",0
"912","19145",0
"913","19151",0
"914","19122",50000
"915","18344",0
"916","19135",150000
"917","19120",1e+05
"918","19134",1e+05
"919","19133",20000
"920","19135",10000
"921","19150",0
"922","19141",3000
"924","19104",1e+05
"925","19139",50000
"926","19124",0
"928","19141",0
"929","19140",6700
"930","19130",35000
"931","19143",50000
"932","19134",12000
"933","19120",750000
"934","19126",0
"935","19144",0
"936","19124",0
"937","19123",5e+05
"938","19138",3700
"939","23320",150000
"940","19139",0
"941","19148",25000
"942","19139",0
"943","19805",0
"944","19124",0
"945","19141",5e+05
"946","19140",10000
"947","19134",0
"948","19135",50000
"949","19134",5000
"950","19138",0
"951","19145",30000
"952","19140",50000
"953","19139",7500
"954","19141",15000
"955","19134",25000
"957","19124",25000
"958","19131",0
"959","19134",0
"960","19135",250000
"961","19133",250000
"962","19124",25000
"963","19134",25000
"964","19131",0
"965","19120",0
"966","19061",0
"967","19143",2500
"969","19143",0
"970","19141",25000
"971","19121",20000
"972","19134",150000
"973","19010",5000
"974","19151",50000
"975","19128-2126",50000
"976","19139",5000
"977","19138",1e+05
"978","19138",10000
"979","19136",1
"980","19136",0
"981","19133",0
"982","19135",1e+05
"983","19136",0
"984","19131",50000
"985","19100",10000
"986","19131",20000
"987","19010",5000
"988","23308",0
"989","19124",50000
"990","19152",0
"991","19023",2e+05
"992","19120",150000
"993","19122",20000
"994","19145",5000
"995","17022",0
"996","19144",25000
"997","19140",0
"998","19121",3700
"999","19136",25000
"1000","08075-3952",5e+05
"1001","19116",15000
"1002","19132",50000
"1004","19120",10000
"1005","19133",3700
"1006","19131",0
"1007","19136",5000
"1008","19133",3700
"1009","19134",0
"1010","19136",75000
"1011","19133",250000
"1012","19132",50000
"1013","19134",0
"1014","19116",15000
"1015","19140",0
"1016","19140",20000
"1017","19140",1e+05
"1019","91770",5e+05
"1020","19122",0
"1021","19124",5000
"1022","19121",25000
"1023","19152",25000
"1024","19132",50000
"1025","19146",0
"1026","19124",15000
"1027","19154",25000
"1028","19138",30000
"1029","19082",25000
"1030","19132",25000
"1031","19140",0
"1032","19133",25000
"1033","19146",15000
"1034","19131",25000
"1035","19121",25000
"1036","19134",0
"1037","19121",0
"1038","19151",50000
"1039","19602",5000
"1040","19148",0
"1041","19104",2e+05
"1042","19138",30000
"1044","19114",0
"1045","15906",0
"1046","19138",20000
"1047","8094",0
"1048","19142",0
"1049","19120",0
"1050","19149",75000
"1051","19111",0
"1052","19136",1e+05
"1053","19121",50000
"1054","19143",0
"1055","8049",0
"1056","19133",0
"1057","19111",35000
"1058","19149",10000
"1059","19133",25000
"1060","19121",10000
"1061","19141",0
"1062","19145",0
"1063","19134",0
"1064","19153",10000
"1065","19132",50000
"1066","19100",35000
"1068","19140",50000
"1069","19104",15000
"1070","19139",10000
"1071","19124",25000
"1072","19133",0
"1073","19135",2500
"1074","19124",5e+05
"1075","19138",0
"1076","19123",0
"1077","19123",10000
"1078","19144",50000
"1079","19805",0
"1080","19140",75000
"1081","19382",0
"1082","19130",5000
"1083","19141",50000
"1084","19107",50000
"1085","19133",20000
"1086","19134",10000
"1087","19100",10000
"1088","19120",5000
"1089","19123",0
"1092","19111",2e+05
"1093","19141",150000
"1094","19810",0
"1096","19124",5e+05
"1097","19464",0
"1098","19146",0
"1099","19150",25000
"1100","19720-8868",0
"1101","19134",5000
"1102","19140",2500
"1103","19151",0
"1104","19143",0
"1105","19143",0
"1106","19104",15000
"1107","19149",0
"1108","19082",0
"1111","19111",0
"1112","19720",0
"1113","23451",25000
"1114","19133",0
"1115","19139",30000
"1116","19140",5000
"1117","19143",0
"1118","19120",10000
"1119","19151",0
"1120","19144",0
"1121","19132",0
"1122","19147",1e+05
"1124","8105",0
"1125","08037-2422",0
"1126","19142",25000
"1127","19120",12000
"1128","19145",15000
"1129","19132",0
"1130","19140",3700
"1131","19146",20000
"1132","19135",5000
"1133","19111",5000
"1134","19138",150000
"1135","19131",5000
"1136","19104",10000
"1137","19104",15000
"1138","19138",0
"1139","19131",0
"1140","19134",0
"1141","19146",0
"1142","19140",0
"1143","8105",150000
"1145","19149",0
"1146","19125",0
"1147","19121",10000
"1148","19145",5000
"1149","19146",30000
"1150","19138",0
"1152","19142",0
"1153","8016",0
"1154","19140",10000
"1155","19134",35000
"1156","19131",10000
"1157","19139",12000
"1158","19146",25000
"1159","19143",50000
"1160","19120",15000
"1161","19054",0
"1162","19111",0
"1163","19140",10000
"1164","19126",0
"1165","19139",0
"1167","19153",250000
"1168","19136",15000
"1169","19124",2500
"1170","19138",0
"1171","19123",0
"1172","19139",0
"1173","19142",25000
"1174","19131",30000
